Barber_Dan-interview_1,k3j9kdrd
Barber_Dan-interview_2,6m905rkw
Barber_Dan-interview_3,pnvx0mgd
Bastianich_Lidia-interview_1,fbg79d78
Bastianich_Lidia-interview_2,z612jnfk
Batterberry_Ariane-interview_1,9kd51cr5
Batterberry_Michael-interview_1,5tb2rc7w
Batterberry_Michael-interview_2,2547d8dd
Baum_Hilary-interview_1,xd25482g
Baum_Hilary-interviewee,sn02v7j0
Benepe_Barry-interview_1,nvx0k71s
Benepe_Barry-interview_2,j3tx96hc
Benepe_Barry-interviewee,dbrv161g
Carmel_Dalia-interview_1,8kprr5h0
Carmel_Dalia-interview_2,4xgxd2qq
Colicchio_Tom-interview_1,15dv426m
Colicchio_Tom-interview_2,tdz08mzd
Federman_Mark-interview_1,wdbrv1vb
Federman_Mark-interview_2,jwstqkxp
Ferrone_John-interview_1,rn8pk1b6
Ferrone_John-interview_2,mw6m90tv
Ferrone_John-interview_3,h44j10b0
Ferrone_John-interviewee,cfxpnwh3
Fussell_Betty-interview_1,7pvmcw16
Fussell_Betty-interview_2,3xsj3vhv
Fussell_Betty-interview_3,05qftv0m
Fussell_Betty-interviewee,vdncjtng
Greene_Gael-interview_1,qnk98t4b
Greene_Gael-interviewee,kwh70sn7
Imhoff_Dan-interview_1,g79cnpsc
Jaffrey_Madhur-interview_1,bg79cp9g
Jaffrey_Madhur-interview_2,2v6wwr3r
Jones_Judith-interview_1,6q573ns4
Jones_Judith-interview_2,2z34tn8v
Jones_Judith-interviewee,z612jmxr
Kafka_Barbara-interview_1,tdz08mdj
Kafka_Barbara-interview_2,pnvx0kxb
Kafka_Barbara-interview_3,k0p2nh2s
Nestle_Marion-interview_1,f7m0cgkp
Nestle_Marion-interview_2,9ghx3g16
Nestle_Marion-interview_3,5qfttfhq
Nestle_Marion-interviewee,1zcrjf1t
Pepin_Jacques-interview_1,x69p8dpq
Pepin_Jacques-interviewee,sf7m0d5k
Sax_Irene-interview_1,ns1rn9c5
Sax_Irene-interviewee,j0zpc8w1
Schonfeld_Reese-interview_1,d7wm38bn
Schonfeld_Reese-interview_2,8gtht7t5
Schumacher_Gus-interview_1,4qrfj791
Schumacher_Gus-interview_2,0zpc86sp
Sheraton_Mimi-interview_1,w6m906fs
Sheraton_Mimi-interview_2,rjdfn3nc
Sheraton_Mimi-interviewee,msbcc35g
Whiteman_Michael-interview_1,7h44j1k9
WhiteViazzi_Jane-interview_1,h18932mx
Wolf_Clark-interview_1,3r228125
Wolf_Clark-interview_2,000000hm
Wolf_Clark-interviewee,v9s4mwxd
Zagat_Nina-interview_1,qjq2bwd8
Zagat_Tim-interview_1,ksn02vvp
